year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2009,4,FRD,Normandie,1,M,ED3_4,educM,1,0.057,Y20-64,4
2009,4,FRD,Normandie,1,M,ED5-8,educH,2,,Y20-64,4
2009,4,FRD,Normandie,1,M,TOTAL,educALL,-1,0.07400000000000001,Y20-64,4
2009,5,FRE,Hauts-de-France,0,F,ED0-2,educL,0,0.172,Y20-64,5
2009,5,FRE,Hauts-de-France,0,F,ED3_4,educM,1,0.115,Y20-64,5
2009,5,FRE,Hauts-de-France,0,F,ED5-8,educH,2,0.055999999999999994,Y20-64,5
2009,5,FRE,Hauts-de-France,0,F,TOTAL,educALL,-1,0.111,Y20-64,5
2009,5,FRE,Hauts-de-France,1,M,ED0-2,educL,0,0.19899999999999998,Y20-64,5
2009,5,FRE,Hauts-de-France,1,M,ED3_4,educM,1,0.10400000000000001,Y20-64,5
2009,5,FRE,Hauts-de-France,1,M,ED5-8,educH,2,0.057999999999999996,Y20-64,5
2009,5,FRE,Hauts-de-France,1,M,TOTAL,educALL,-1,0.12,Y20-64,5
2009,6,FRF,Grand Est,0,F,ED0-2,educL,0,0.129,Y20-64,6
2009,6,FRF,Grand Est,0,F,ED3_4,educM,1,0.1,Y20-64,6
