hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000019700,2015,FAIL,0,589.0519083333334,3099.0898169746,3688.1417253079335,333.08,1.665399999999991,0.0,0.0,ils_ben
100000020700,2015,FAIL,0,319.9622999999997,3818.5400637777334,3498.5777637777337,321.53999999999996,1.5777000000000214,0.0,0.0,ils_ben
100000021400,2015,FAIL,0,419.83226818728235,3714.096338393041,4133.9286065803235,130.0,210.59763798589194,0.0,0.0,ils_tax
100000021800,2015,FAIL,0,681.7786883579065,5483.199155801196,6164.9778441591025,333.08,181.17408835790542,0.0,0.0,ils_ben
100000022300,2015,FAIL,0,77.89998238483531,3496.7453581892323,3574.6453405740676,333.08,61.11211794849771,0.0,0.0,ils_ben
100000022600,2015,FAIL,0,129.3499999999999,3968.1376421299997,4097.48764213,130.0,0.6500000000000057,0.0,0.0,ils_ben
100000022900,2015,PASS,0,0.0,3727.117130254758,3727.117130254758,0.0,0.0,0.0,0.0,
100000023200,2015,FAIL,0,245.76070756404897,5708.712780749641,5954.47348831369,0.0,996.0822280302256,0.0,0.0,ils_tax
100000023500,2015,PASS,0,0.0,3844.665010956157,3844.665010956157,0.0,0.0,0.0,0.0,
100000023800,2015,FAIL,0,331.41460000000006,5498.002159556619,5829.416759556619,333.08,1.6654000000000053,0.0,0.0,ils_ben
100000023900,2015,FAIL,0,302.11550923211917,3390.218613840857,3692.334123072976,463.05999999999995,158.6291907678807,0.0,0.0,ils_ben
100000024300,2015,PASS,0,0.0,5515.234329836943,5515.234329836943,0.0,0.0,0.0,0.0,
100000024600,2015,FAIL,0,882.959656471513,8153.5300583178205,9036.489714789333,499.6500000000001,216.61790647151275,0.0,0.0,ils_ben
100000024700,2015,PASS,0,0.0,2613.822638857778,2613.822638857778,0.0,0.0,0.0,0.0,
100000025200,2015,FAIL,0,810.7884712207042,2720.1982699394375,3530.9867411601417,771.388182512274,43.19681370843,0.0,0.0,ils_ben
100000026200,2015,FAIL,0,423.7207499999995,4398.713295966667,4822.434045966666,333.08,1.665399999999977,0.0,0.0,ils_ben
100000027100,2015,FAIL,0,288.37790122834303,5242.237630286541,4953.859729058198,0.0,288.37790122834286,0.0,0.0,ils_tax
100000027300,2015,FAIL,0,129.35000000000036,4287.4086415212005,4158.0586415212,130.0,0.6499999999999773,0.0,0.0,ils_ben
100000027500,2015,FAIL,0,304.4463937011924,5454.95023989393,5759.396633595123,0.0,304.44639370119194,0.0,0.0,ils_tax
100000028000,2015,FAIL,0,862.8909686375287,3560.5378091779708,4423.428777815499,463.05999999999995,85.61460197086228,0.0,0.0,ils_ben
100000028300,2015,FAIL,0,467.7817827576491,5269.3761208508095,5737.157903608459,0.0,597.2759560877498,0.0,0.0,ils_tax
100000028400,2015,PASS,0,0.0,3435.6940580283017,3435.6940580283017,0.0,0.0,0.0,0.0,
100000029000,2015,FAIL,0,331.414600000001,3939.7624214260168,4271.177021426018,333.08,1.6654000000000053,0.0,0.0,ils_ben
